url,collectedAt,content.headline,content.source,content.published_date
"https://words.filippo.io/vuln-reports/","2026-06-24T05:16:56.289Z","Vulnerability reports are not special anymore","words.filippo.io","2026-06-23T23:42:46.000Z"
"http://www.jerrysmap.com/the-map","2026-06-24T05:16:56.598Z","Jerry's Map","www.jerrysmap.com","2026-06-23T18:40:22.000Z"
"https://swipe.futo.tech/","2026-06-24T05:16:56.907Z","FUTO Swipe – A new swipe typing model","swipe.futo.tech","2026-06-23T17:50:22.000Z"
"https://arxiv.org/abs/2606.24597","2026-06-24T05:16:57.215Z","Qwen-AgentWorld: Language World Models for General Agents","arxiv.org","2026-06-24T02:21:47.000Z"
"https://devblogs.microsoft.com/oldnewthing/20260622-00/?p=112451","2026-06-24T05:16:57.523Z","In memory of the man who put red and green squiggles under words","devblogs.microsoft.com","2026-06-23T18:10:47.000Z"
"https://glyphcss.com","2026-06-24T05:16:57.831Z","Show HN: An ASCII 3D Rendering Engine","glyphcss.com","2026-06-20T19:10:41.000Z"
"https://www.patreon.com/DanyBittel/posts/printing-splats-161333338","2026-06-24T05:16:58.141Z","Printing Gaussian Splats","www.patreon.com","2026-06-21T12:49:02.000Z"
"https://github.com/End2End-Diffusion/diffusion-bench","2026-06-24T05:16:58.453Z","DiffusionBench: Towards Holistic Evaluation of Generative Diffusion Transformers","github.com","2026-06-24T02:12:31.000Z"
"https://ps.tc/pages/blog-usbliter8.html","2026-06-24T05:16:58.764Z","Usbliter8: an A12/A13 SecureROM Exploit","ps.tc","2026-06-18T14:23:38.000Z"
"https://swiftpackageindex.com/blog/swift-package-index-joins-apple","2026-06-24T05:16:59.072Z","Swift Package Index joins Apple","swiftpackageindex.com","2026-06-23T18:00:58.000Z"
"https://blog.racket-lang.org/2026/06/rhombus-v1.0.html","2026-06-24T05:16:59.382Z","Rhombus Language 1.0","blog.racket-lang.org","2026-06-22T17:50:40.000Z"
"https://tikz.dev/editor/","2026-06-24T05:16:59.694Z","Show HN: TikZ Editor – WYSIWYG editor for figures in LaTeX","tikz.dev","2026-06-23T14:24:21.000Z"
"https://www.wired.com/story/meta-pauses-employee-tracking-program-following-internal-security-breach/","2026-06-24T05:17:00.007Z","Meta Pauses Employee-Tracking Program Following Internal Data Leak","www.wired.com","2026-06-24T00:28:41.000Z"
"https://dynomight.net/vitamin-d/","2026-06-24T05:17:00.318Z","The worthlessness of Vitamin D is mildly exaggerated","dynomight.net","2026-06-23T16:30:18.000Z"
"https://lucumr.pocoo.org/2026/6/23/the-coming-loop/","2026-06-24T05:17:00.629Z","The Coming Loop","lucumr.pocoo.org","2026-06-23T11:06:41.000Z"
"https://gitlab.com/baiyibai/pico-usb-wifi","2026-06-24T05:17:00.939Z","Raspberry Pi Pico W as USB Wi-Fi Adapter","gitlab.com","2026-06-24T03:17:47.000Z"
"https://www.muppetlabs.com/~breadbox/software/tiny/revisit.html","2026-06-24T05:17:01.252Z","The Teensy Executable Revisited","www.muppetlabs.com","2026-06-24T02:30:13.000Z"
"https://www.thedrive.com/news/this-man-was-gifted-his-dream-car-by-the-notorious-hacker-he-put-in-prison","2026-06-24T05:17:01.561Z","A man was gifted his dream car by Kevin Mitnick, who he helped put in prison","www.thedrive.com","2026-06-22T18:03:03.000Z"
"https://www.lse.ac.uk/granthaminstitute/events/extreme-heat-improving-governance-and-strengthening-action-around-the-world/","2026-06-24T05:17:01.874Z","Extreme Heat conference cancelled due to extreme heat warning","www.lse.ac.uk","2026-06-23T23:26:43.000Z"
"https://www.economist.com/by-invitation/2026/06/02/how-the-war-on-terror-primed-america-for-autocracy","2026-06-24T05:17:02.186Z","The war on terror primed America for autocracy","www.economist.com","2026-06-24T02:23:39.000Z"
"https://primecrunch.com/blog/2/hunting-million-digit-primes-from-my-loft","2026-06-24T05:17:02.517Z","Hunting Million-Digit Primes from My Loft","primecrunch.com","2026-06-21T17:58:49.000Z"
"https://dirtylittlezine.com/","2026-06-24T05:17:02.836Z","Dirty Little Zine – a tool for making an 8 page printable Zine","dirtylittlezine.com","2026-06-20T18:58:14.000Z"
"https://www.thinkgeoenergy.com/quaise-energy-achieves-100-meters-of-drilling-using-millimeter-wave-technology/","2026-06-24T05:17:03.144Z","Millimeter wave technology drills 100 meters into granite","www.thinkgeoenergy.com","2026-06-20T18:24:55.000Z"
"https://www.patrickdomanico.com/bpm/2026/06/16/inventing-the-future-one-lisp-machine-at-a-time/","2026-06-24T05:17:03.454Z","Inventing the Future, One Lisp Machine at a Time","www.patrickdomanico.com","2026-06-22T15:24:40.000Z"
"https://github.com/dmtrKovalenko/ffs","2026-06-24T05:17:03.764Z","F* file system – file search that reads SSD directly bypassing OS kernel","github.com","2026-06-21T20:44:33.000Z"
"https://github.com/context-labs/halo","2026-06-24T05:17:04.075Z","Show HN: RLM-based local debugger for AI agent traces","github.com","2026-06-23T18:21:52.000Z"
"https://nega.tv/posts/low-tech-ai-of-elden-ring.html","2026-06-24T05:17:04.400Z","The Low-Tech AI of Elden Ring","nega.tv","2026-06-23T11:40:50.000Z"
"https://qsoe-dev.blogspot.com/2026/06/qsoe-project-v01-is-released.html","2026-06-24T05:17:04.712Z","QSOE: QNX-inspired OS with dual-kernel architecture","qsoe-dev.blogspot.com","2026-06-22T13:46:57.000Z"
"https://twitter.com/JPoehnelt/status/2069482265953087602","2026-06-24T05:17:05.032Z","Fired by Google for creating the Google workspace CLI","twitter.com","2026-06-23T18:13:40.000Z"
